cell,arc,meas,slew_idx,load_idx,slew,load,v0,sigma_local,sigma_local_rel,sigma_vth,sigma_u0
NAND2_X1,A_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,8.603645e-11,5.018178e-12,5.832619e-02,3.438552e-12,3.654925e-12
NAND2_X1,A_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,9.886646e-11,6.377946e-12,6.451072e-02,3.924322e-12,5.027713e-12
NAND2_X1,A_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,5.118165e-11,2.477282e-12,4.840176e-02,2.046259e-12,1.396334e-12
NAND2_X1,A_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,3.515976e-11,7.241111e-13,2.059488e-02,2.124260e-13,6.922515e-13
NAND2_X1,A_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,6.823589e-11,2.748028e-12,4.027247e-02,2.140338e-12,1.723545e-12
NAND2_X1,A_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,4.973381e-11,2.033250e-12,4.088266e-02,1.026966e-12,1.754835e-12
NAND2_X1,A_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,1.067708e-10,5.310948e-12,4.974158e-02,3.852604e-12,3.655628e-12
NAND2_X1,A_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,9.904296e-11,6.150363e-12,6.209793e-02,3.736987e-12,4.884864e-12
NAND2_X1,B_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,2.024899e-11,7.108412e-13,3.510502e-02,5.931739e-13,3.917141e-13
NAND2_X1,B_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,1.380378e-11,4.941640e-13,3.579918e-02,3.693264e-13,3.283230e-13
NAND2_X1,B_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,2.931109e-11,1.048025e-12,3.575523e-02,8.624664e-13,5.954054e-13
NAND2_X1,B_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,2.556396e-11,9.350266e-13,3.657597e-02,7.114067e-13,6.067744e-13
NAND2_X1,B_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,5.317776e-11,1.975026e-12,3.714007e-02,1.615025e-12,1.136846e-12
NAND2_X1,B_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,5.688009e-11,2.109735e-12,3.709092e-02,1.623999e-12,1.346702e-12
NAND2_X1,B_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,2.633793e-11,1.074750e-12,4.080615e-02,9.621742e-13,4.788607e-13
NAND2_X1,B_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,1.442010e-11,4.169532e-13,2.891472e-02,3.006470e-13,2.888967e-13
