cell,arc,meas,slew_idx,load_idx,inst,group,param,s1,sigma_mm,c_local,contrib_frac,share_global,c_global_1sig
INV_X1,A_f_ZN_r,delay,2,2,M2,P,u0,-5.522900e-11,6.085806e-02,-3.36113e-12,4.642139e-01,1.000000e+00,-1.656870e-12
INV_X1,A_f_ZN_r,trans,2,2,M1,N,vth,6.050000e-14,2.108185e-02,1.275452e-15,5.301557e-08,1.000000e+00,9.075000e-16
INV_X1,A_f_ZN_r,trans,2,2,M1,N,u0,2.425000e-14,1.054093e-01,2.556176e-15,2.129397e-07,1.000000e+00,7.275000e-16
INV_X1,A_f_ZN_r,trans,2,2,M2,P,vth,2.488500e-10,1.338877e-02,3.331795e-12,3.617695e-01,1.000000e+00,3.732750e-12
INV_X1,A_f_ZN_r,trans,2,2,M2,P,u0,-7.271650e-11,6.085806e-02,-4.425385e-12,6.382303e-01,1.000000e+00,-2.181495e-12
NAND2_X1,A_r_ZN_f,delay,0,0,M1,N,vth,3.592750e-11,1.490712e-02,5.355756e-13,7.119075e-01,8.014075e-01,5.389125e-13
NAND2_X1,A_r_ZN_f,delay,0,0,M1,N,u0,-3.412500e-12,7.453560e-02,-2.543527e-13,1.605665e-01,5.816431e-01,-1.023750e-13
NAND2_X1,A_r_ZN_f,delay,0,0,M2,N,vth,8.903000e-12,1.490712e-02,1.327181e-13,4.371619e-02,1.985925e-01,1.335450e-13
NAND2_X1,A_r_ZN_f,delay,0,0,M2,N,u0,-2.454500e-12,7.453560e-02,-1.829476e-13,8.306836e-02,4.183569e-01,-7.363500e-14
NAND2_X1,A_r_ZN_f,delay,0,0,M3,P,vth,1.215000e-13,1.338877e-02,1.626736e-15,6.567741e-06,9.959016e-01,1.822500e-15
NAND2_X1,A_r_ZN_f,delay,0,0,M3,P,u0,-2.827500e-13,6.085806e-02,-1.720762e-14,7.348920e-04,1.000000e+00,-8.482500e-15
NAND2_X1,A_r_ZN_f,delay,0,0,M4,P,vth,5.000000e-16,1.338877e-02,6.694385e-18,1.112253e-10,4.098361e-03,7.500000e-18
NAND2_X1,A_r_ZN_f,delay,0,0,M4,P,u0,0.000000e+00,6.085806e-02,0.0,0.000000e+00,-0.000000e+00,0.000000e+00
NAND2_X1,A_r_ZN_f,trans,0,0,M1,N,vth,2.196650e-11,1.490712e-02,3.274573e-13,4.352965e-01,6.513707e-01,3.294975e-13
NAND2_X1,A_r_ZN_f,trans,0,0,M1,N,u0,-2.994750e-12,7.453560e-02,-2.232155e-13,2.022668e-01,4.798125e-01,-8.984250e-14
NAND2_X1,A_r_ZN_f,trans,0,0,M2,N,vth,1.175700e-11,1.490712e-02,1.75263e-13,1.246971e-01,3.486293e-01,1.763550e-13
NAND2_X1,A_r_ZN_f,trans,0,0,M2,N,u0,-3.246750e-12,7.453560e-02,-2.419985e-13,2.377394e-01,5.201875e-01,-9.740250e-14
NAND2_X1,A_r_ZN_f,trans,0,0,M3,P,vth,2.000000e-15,1.338877e-02,2.677754e-17,2.910833e-09,1.000000e+00,3.000000e-17
NAND2_X1,A_r_ZN_f,trans,0,0,M3,P,u0,-3.000000e-15,6.085806e-02,-1.825742e-16,1.353177e-07,1.000000e+00,-9.000000e-17
NAND2_X1,A_r_ZN_f,trans,0,0,M4,P,vth,0.000000e+00,1.338877e-02,0.0,0.000000e+00,0.000000e+00,0.000000e+00
NAND2_X1,A_r_ZN_f,trans,0,0,M4,P,u0,0.000000e+00,6.085806e-02,0.0,0.000000e+00,-0.000000e+00,0.000000e+00
NAND2_X1,A_r_ZN_f,delay,0,1,M1,N,vth,5.450500e-11,1.490712e-02,8.125126e-13,6.674410e-01,7.697522e-01,8.175750e-13
NAND2_X1,A_r_ZN_f,delay,0,1,M1,N,u0,-5.377000e-12,7.453560e-02,-4.007779e-13,1.623904e-01,5.482259e-01,-1.613100e-13
NAND2_X1,A_r_ZN_f,delay,0,1,M2,N,vth,1.630350e-11,1.490712e-02,2.430382e-13,5.971754e-02,2.302478e-01,2.445525e-13
NAND2_X1,A_r_ZN_f,delay,0,1,M2,N,u0,-4.431000e-12,7.453560e-02,-3.302672e-13,1.102767e-01,4.517741e-01,-1.329300e-13
NAND2_X1,A_r_ZN_f,delay,0,1,M3,P,vth,-5.430000e-13,1.338877e-02,-7.270102e-15,5.343597e-05,1.000000e+00,-8.145000e-15
NAND2_X1,A_r_ZN_f,delay,0,1,M3,P,u0,-1.797500e-13,6.085806e-02,-1.093924e-14,1.209837e-04,1.000000e+00,-5.392500e-15
NAND2_X1,A_r_ZN_f,delay,0,1,M4,P,vth,0.000000e+00,1.338877e-02,0.0,0.000000e+00,-0.000000e+00,0.000000e+00
NAND2_X1,A_r_ZN_f,delay,0,1,M4,P,u0,0.000000e+00,6.085806e-02,0.0,0.000000e+00,-0.000000e+00,0.000000e+00
NAND2_X1,A_r_ZN_f,trans,0,1,M1,N,vth,4.285500e-11,1.490712e-02,6.388446e-13,4.666641e-01,6.709145e-01,6.428250e-13
NAND2_X1,A_r_ZN_f,trans,0,1,M1,N,u0,-5.691500e-12,7.453560e-02,-4.242194e-13,2.057761e-01,4.943542e-01,-1.707450e-13
