cell,arc,meas,slew_idx,load_idx,slew,load,v0
NOR2_X1,B_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,6.636774e-11
NOR2_X1,B_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,2.487202e-11
NOR2_X1,B_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,2.720957e-11
NOR2_X1,B_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,4.007126e-11
NOR2_X1,B_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,4.808003e-11
NOR2_X1,B_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,7.980863e-11
NOR2_X1,B_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,1.029925e-10
NOR2_X1,B_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,3.163206e-11
NOR2_X1,B_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,2.773000e-11
NOR2_X1,B_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,4.671105e-11
NOR2_X1,B_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,4.786052e-11
NOR2_X1,B_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,8.659275e-11
NOR2_X1,B_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,1.029862e-10
NOR2_X1,B_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,4.734315e-11
NOR2_X1,B_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,3.903315e-11
NOR2_X1,B_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,6.528495e-11
NOR2_X1,B_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,5.406550e-11
NOR2_X1,B_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,1.047114e-10
NOR2_X1,B_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,1.032652e-10
