cell,arc,meas,slew_idx,load_idx,slew,load,inst,group,param,delta,sigma_mm,v0,vplus,vminus,s1,s2
INV_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,GROUP:P,P,u0,0.02,,3.355257e-11,3.354877e-11,3.355672e-11,-1.987500e-13,8.750000e-13
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,M1,N,vth,0.010,2.108185e-02,2.282545e-11,2.288572e-11,2.276115e-11,6.228500e-12,-4.030000e-11
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,M1,N,u0,0.02,1.054093e-01,2.282545e-11,2.276521e-11,2.288783e-11,-3.065500e-12,5.350000e-12
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,M2,P,vth,0.010,1.338877e-02,2.282545e-11,2.285136e-11,2.279437e-11,2.849500e-12,-5.170000e-11
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,M2,P,u0,0.02,6.085806e-02,2.282545e-11,2.283007e-11,2.28205e-11,2.392500e-13,-8.250000e-13
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,GROUP:N,N,vth,0.010,,2.282545e-11,2.288572e-11,2.276115e-11,6.228500e-12,-4.030000e-11
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,GROUP:N,N,u0,0.02,,2.282545e-11,2.276521e-11,2.288783e-11,-3.065500e-12,5.350000e-12
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,GROUP:P,P,vth,0.010,,2.282545e-11,2.285136e-11,2.279437e-11,2.849500e-12,-5.170000e-11
INV_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,GROUP:P,P,u0,0.02,,2.282545e-11,2.283007e-11,2.28205e-11,2.392500e-13,-8.250000e-13
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,M1,N,vth,0.010,2.108185e-02,5.076944e-11,5.224751e-11,4.92961e-11,1.475705e-10,4.730000e-11
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,M1,N,u0,0.02,1.054093e-01,5.076944e-11,5.052308e-11,5.102384e-11,-1.251900e-11,2.010000e-11
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,M2,P,vth,0.010,1.338877e-02,5.076944e-11,5.07635e-11,5.077883e-11,-7.665000e-13,3.450000e-11
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,M2,P,u0,0.02,6.085806e-02,5.076944e-11,5.076114e-11,5.077802e-11,-4.220000e-13,7.000000e-13
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,GROUP:N,N,vth,0.010,,5.076944e-11,5.224751e-11,4.92961e-11,1.475705e-10,4.730000e-11
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,GROUP:N,N,u0,0.02,,5.076944e-11,5.052308e-11,5.102384e-11,-1.251900e-11,2.010000e-11
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,GROUP:P,P,vth,0.010,,5.076944e-11,5.07635e-11,5.077883e-11,-7.665000e-13,3.450000e-11
INV_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,GROUP:P,P,u0,0.02,,5.076944e-11,5.076114e-11,5.077802e-11,-4.220000e-13,7.000000e-13
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,M1,N,vth,0.010,2.108185e-02,3.375328e-11,3.380745e-11,3.368806e-11,5.969500e-12,-1.105000e-10
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,M1,N,u0,0.02,1.054093e-01,3.375328e-11,3.365726e-11,3.385335e-11,-4.902250e-12,1.012500e-11
INV_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,M2,P,vth,0.010,1.338877e-02,3.375328e-11,3.375737e-11,3.374649e-11,5.440000e-13,-2.700000e-11
